연번,시,구,동,도로명,시도청,경찰서,관서명,구분,전화번호,주소,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명,기준주소
535,대전광역시,서구,계백로,1366,대전청,대전서부,도마,지구대,042-600-3001,대전광역시 서구  계백로 1366,대전광역시 서구  계백로 1366,233516.0,312230.0,정좌표,30170103001018918,새주소,대전광역시 서구 계백로 1366,대전광역시 서구 도마동 189-7,354000,30170530000,도마2동,30170103000,도마동,대전광역시 서구 계백로 1366
536,대전광역시,서구,갈마로,246,대전청,대전서부,내동,지구대,042-600-3002,대전광역시 서구  갈마로 246,대전광역시 서구  갈마로 246,234143.0,314847.0,정좌표,30170110001000218,새주소,대전광역시 서구 갈마로 246,대전광역시 서구 내동 2,353140,30170575000,내동,30170110000,내동,대전광역시 서구 갈마로 246
537,대전광역시,서구,관저로,65,대전청,대전서부,구봉,지구대,042-600-3003,대전광역시 서구  관저로 65,대전광역시 서구  관저로 65,229478.0,310986.0,정좌표,30170116001113518,새주소,대전광역시 서구 관저로 65,대전광역시 서구 관저동 1135,353710,30170597000,관저2동,30170116000,관저동,대전광역시 서구 관저로 65
538,대전광역시,서구,용소로40번길,7,대전청,대전서부,가수원,지구대,042-600-3004,대전광역시 서구  용소로40번길 7,대전광역시 서구  용소로40번길 7,231571.0,312086.0,정좌표,30170115001190618,새주소,대전광역시 서구 용소로40번길 7,대전광역시 서구 도안동 1906,353690,30170593000,도안동,30170115000,도안동,대전광역시 서구 용소로40번길 7
539,대전광역시,대덕구,대덕대로,1427,대전청,대전대덕,신탄진,지구대,042-600-4311,대전광역시 대덕구  대덕대로 1427,대전광역시 대덕구  대덕대로 1427,236409.0,327425.0,인근좌표,302300,새주소,대전광역시 대덕구 대덕대로 1427,대전광역시 대덕구,,,,,,대전광역시 대덕구 대덕대로 1427
540,대전광역시,대덕구,한밭대로,1084,대전청,대전대덕,중리,지구대,042-600-4312,대전광역시 대덕구  한밭대로 1084,대전광역시 대덕구  한밭대로 1084,237523.0,317587.0,정좌표,30230109001025918,새주소,대전광역시 대덕구 한밭대로 1084,대전광역시 대덕구 중리동 259-10,344260,30230546000,중리동,30230109000,중리동,대전광역시 대덕구 한밭대로 1084
541,대전광역시,대덕구,동춘당로,63,대전청,대전대덕,송촌,지구대,042-600-4133,대전광역시 대덕구  동춘당로 63,대전광역시 대덕구  동춘당로 63,239620.0,318152.0,정좌표,30230107001050118,새주소,대전광역시 대덕구 동춘당로 63,대전광역시 대덕구 송촌동 501-2,344200,30230543000,송촌동,30230107000,송촌동,대전광역시 대덕구 동춘당로 63
542,대전광역시,대덕구,대전로,1386,대전청,대전대덕,회덕,파출소,042-600-4314,대전광역시 대덕구  대전로 1386,대전광역시 대덕구  대전로 1386,237740.0,319679.0,정좌표,30230103001024718,새주소,대전광역시 대덕구 대전로 1386,대전광역시 대덕구 읍내동 247-7,343600,30230525000,회덕동,30230103000,읍내동,대전광역시 대덕구 대전로 1386
543,대전광역시,서구,둔산남로9번길,21,대전청,대전둔산,둔산,지구대,042-600-5101,대전광역시 서구 둔산남로 9번길 21,대전광역시 서구 둔산남로 9번길 21,233853.0,316518.0,정좌표,30170112001115818,새주소,대전광역시 서구 둔산남로9번길 21,대전광역시 서구 둔산동 1158-1,352340,30170640000,둔산2동,30170112000,둔산동,대전광역시 서구 둔산남로9번길 21
544,대전광역시,서구,신갈마로,211,대전청,대전둔산,갈마,지구대,042-600-5102,대전광역시 서구 신갈마로 211,대전광역시 서구 신갈마로 211,232990.0,316933.0,정좌표,30170111001029318,새주소,대전광역시 서구 신갈마로 211,대전광역시 서구 갈마동 293-12,352750,30170581000,갈마1동,30170111000,갈마동,대전광역시 서구 신갈마로 211
545,대전광역시,서구,청사로,27-7,대전청,대전둔산,월평,지구대,042-600-5103,대전광역시 서구 청사로 27-7,대전광역시 서구 청사로 27-7,232852.0,317764.0,정좌표,3017011300103118,새주소,대전광역시 서구 청사로 27-7,대전광역시 서구 월평동 310-1,352100,30170588000,월평3동,30170113000,월평동,대전광역시 서구 청사로 27-7
546,대전광역시,서구,청사로,277,대전청,대전둔산,청사,지구대,042-600-5104,대전광역시 서구 청사로 277,대전광역시 서구 청사로 277,235352.0,317751.0,정좌표,30170112001090818,새주소,대전광역시 서구 청사로 277,대전광역시 서구 둔산동 908-4,352050,30170640000,둔산2동,30170112000,둔산동,대전광역시 서구 청사로 277
547,대전광역시,유성구,문화원로,136,대전청,대전유성,유성,지구대,042-822-0112,대전광역시 유성구  문화원로 136,대전광역시 유성구  문화원로 136,231409.0,317536.0,정좌표,30200111001067618,새주소,대전광역시 유성구 문화원로 136,대전광역시 유성구 봉명동 676-1,341850,30200530000,온천1동,30200111000,봉명동,대전광역시 유성구 문화원로 136
548,대전광역시,유성구,가정로,318,대전청,대전유성,도룡,지구대,042-862-0112,대전광역시 유성구  가정로 318,대전광역시 유성구  가정로 318,233853.0,320573.0,정좌표,30200127001039418,새주소,대전광역시 유성구 가정로 318,대전광역시 유성구 도룡동 394-2,341300,30200550000,신성동,30200127000,도룡동,대전광역시 유성구 가정로 318
549,대전광역시,유성구,은구비로,72,대전청,대전유성,노은,지구대,042-725-6206,대전광역시 유성구  은구비로 72,대전광역시 유성구  은구비로 72,228924.0,319491.0,정좌표,30200120001092118,새주소,대전광역시 유성구 은구비로 72,대전광역시 유성구 지족동 921,340840,30200546000,노은1동,30200120000,지족동,대전광역시 유성구 은구비로 72
550,대전광역시,유성구,신성로,71,대전청,대전유성,신성,지구대,042-725-0115,대전광역시 유성구 신성로 71,대전광역시 유성구 신성로 71,231195.0,321052.0,정좌표,30200125001014118,새주소,대전광역시 유성구 신성로 71,대전광역시 유성구 신성동 141-2,341070,30200550000,신성동,30200125000,신성동,대전광역시 유성구 신성로 71
551,대전광역시,유성구,복용북로75번길,19,대전청,대전유성,복용,파출소,042-582-0112,대전광역시 유성구 복용북로75번길 19,대전광역시 유성구 복용북로75번길 19,228301.0,315866.0,정좌표,30200116001059718,새주소,대전광역시 유성구 복용북로75번길 19,대전광역시 유성구 복용동 597-1,341620,30200526000,학하동,30200116000,복용동,대전광역시 유성구 복용북로75번길 19
552,대전광역시,유성구,구룡달전로,21,대전청,대전유성,구즉,지구대,042-935-4112,대전광역시 유성구 구룡달전로 21,대전광역시 유성구 구룡달전로 21,234323.0,326634.0,정좌표,30200145001029618,새주소,대전광역시 유성구 구룡달전로 21,대전광역시 유성구 봉산동 296,340060,30200580000,구즉동,30200145000,봉산동,대전광역시 유성구 구룡달전로 21
553,대전광역시,유성구,원내로39번길,60,대전청,대전유성,진잠,파출소,042-725-6008,대전광역시 유성구  원내동 95,대전광역시 유성구  원내동 95,228739.0,311371.0,정좌표,30200101001009518,구주소,대전광역시 유성구 원내로39번길 60,대전광역시 유성구 원내동 95,342270,30200520000,진잠동,30200101000,원내동,대전광역시 유성구 원내로39번길 60
554,울산광역시,중구,종가5길,55,울산청,울산중부,태화,지구대,052-245-0112,울산광역시 중구 종가5길 55,울산광역시 중구 종가5길 55,408220.0,231340.0,정좌표,3111011000104818,새주소,울산광역시 중구 종가5길 55,울산광역시 중구 유곡동 480-10,445390,31110600000,태화동,31110110000,유곡동,울산광역시 중구 종가5길 55
555,울산광역시,중구,학산로,7,울산청,울산중부,중앙,지구대,052-296-0112,울산광역시 중구 학산로 7,울산광역시 중구 학산로 7,411169.0,230962.0,정좌표,31110101001034918,새주소,울산광역시 중구 학산로 7,울산광역시 중구 학성동 349-4,445200,31110510000,학성동,31110101000,학성동,울산광역시 중구 학산로 7
556,울산광역시,중구,병영성7길,11,울산청,울산중부,병영,지구대,052-294-0112,울산광역시 중구 병영성7길 11,울산광역시 중구 병영성7길 11,412591.0,233575.0,정좌표,31110114001006118,새주소,울산광역시 중구 병영성7길 11,울산광역시 중구 서동 61-6,444830,31110630000,병영2동,31110114000,서동,울산광역시 중구 병영성7길 11
557,울산광역시,중구,반구정10길,4,울산청,울산중부,반구,파출소,052-293-0112,울산광역시 중구 반구정10길 4,울산광역시 중구 반구정10길 4,412233.0,230999.0,정좌표,31110118001058318,새주소,울산광역시 중구 반구정10길 4,울산광역시 중구 반구동 583-3,445010,31110520000,반구1동,31110118000,반구동,울산광역시 중구 반구정10길 4
558,울산광역시,중구,성안로,257,울산청,울산중부,성안,파출소,052-244-3112,울산광역시 중구 성안로 257,울산광역시 중구 성안로 257,410494.0,233719.0,정좌표,31110109001037918,새주소,울산광역시 중구 성안로 257,울산광역시 중구 성안동 379-7,444160,31110650000,성안동,31110109000,성안동,울산광역시 중구 성안로 257
559,울산광역시,남구,돋질로,118,울산청,울산남부,신정,지구대,052-273-0112,울산광역시 남구 돋질로 118,울산광역시 남구 돋질로 118,410205.0,229093.0,정좌표,31140105001063618,새주소,울산광역시 남구 돋질로 118,울산광역시 남구 달동 636-1,446920,31140560000,달동,31140105000,달동,울산광역시 남구 돋질로 118
560,울산광역시,남구,번영로,217,울산청,울산남부,삼산,지구대,052-265-0112,울산광역시 남구 번영로 217,울산광역시 남구 번영로 217,410730.0,229665.0,정좌표,3114010400101318,새주소,울산광역시 남구 번영로 217,울산광역시 남구 신정동 130-6,446870,31140550000,신정5동,31140104000,신정동,울산광역시 남구 번영로 217
561,울산광역시,남구,수암로,277,울산청,울산남부,야음,지구대,052-273-8313,울산광역시 남구 수암로 277,울산광역시 남구 수암로 277,411766.0,227226.0,정좌표,31140108001038518,새주소,울산광역시 남구 수암로 277,울산광역시 남구 야음동 385-27,447660,31140670000,야음장생포동,31140108000,야음동,울산광역시 남구 수암로 277
562,울산광역시,남구,대공원입구로21번길,16,울산청,울산남부,옥동,지구대,052-273-8321,울산광역시 남구 대공원입구로21번길 16,울산광역시 남구 대공원입구로21번길 16,407859.0,228480.0,정좌표,31140102001024918,새주소,울산광역시 남구 대공원입구로21번길 16,울산광역시 남구 옥동 249-14,446620,31140600000,옥동,31140102000,옥동,울산광역시 남구 대공원입구로21번길 16
563,울산광역시,남구,신복로22번길,22,울산청,울산남부,무거,지구대,052-247-0112,울산광역시 남구 신복로22번길 22,울산광역시 남구 신복로22번길 22,404865.0,230238.0,정좌표,31140101001153218,새주소,울산광역시 남구 신복로22번길 22,울산광역시 남구 무거동 1532-3,446030,31140595000,무거동,31140101000,무거동,울산광역시 남구 신복로22번길 22
564,울산광역시,남구,화합로194번길,17,울산청,울산남부,본동,파출소,052-274-0112,울산광역시 남구 화합로194번길 17,울산광역시 남구 화합로194번길 17,412270.0,229452.0,정좌표,31140106001155418,새주소,울산광역시 남구 화합로194번길 17,울산광역시 남구 삼산동 1554-2,447130,31140570000,삼산동,31140106000,삼산동,울산광역시 남구 화합로194번길 17
565,울산광역시,동구,월봉12길,77,울산청,울산동부,방어진,지구대,052-201-0112,울산광역시 동구 월봉12길 77,울산광역시 동구 월봉12길 77,419643.0,223959.0,정좌표,3117010200108818,새주소,울산광역시 동구 월봉12길 77,울산광역시 동구 화정동 880-32,440830,31170530000,화정동,31170102000,화정동,울산광역시 동구 월봉12길 77
566,울산광역시,동구,진성4길,20,울산청,울산동부,전하,지구대,052-236-0112,울산광역시 동구 진성4길 20,울산광역시 동구 진성4길 20,420281.0,225963.0,정좌표,31170104001065118,새주소,울산광역시 동구 진성4길 20,울산광역시 동구 전하동 651-6,440440,31170560000,전하2동,31170104000,전하동,울산광역시 동구 진성4길 20
567,울산광역시,동구,동해안로,54,울산청,울산동부,남목,파출소,052-235-0112,울산광역시 동구 동해안로 54,울산광역시 동구 동해안로 54,420223.0,229637.0,정좌표,31170107001061818,새주소,울산광역시 동구 동해안로 54,울산광역시 동구 동부동 618-1,440070,31170580000,남목1동,31170107000,동부동,울산광역시 동구 동해안로 54
568,울산광역시,동구,서부로,74,울산청,울산동부,서부,파출소,052-251-0112,울산광역시 동구 서부로 74,울산광역시 동구 서부로 74,419927.0,227863.0,정좌표,31170108001105818,새주소,울산광역시 동구 서부로 74,울산광역시 동구 서부동 1058,440260,31170590000,남목2동,31170108000,서부동,울산광역시 동구 서부로 74
569,울산광역시,북구,화봉로,83,울산청,울산북부,화봉,파출소,052-288-0112,울산광역시 북구 화봉로 83,울산광역시 북구 화봉로 83,414571.0,234669.0,정좌표,3120012500104518,새주소,울산광역시 북구 화봉로 83,울산광역시 북구 화봉동 450-2,442410,31200570000,송정동,31200125000,화봉동,울산광역시 북구 화봉로 83
570,울산광역시,북구,명촌21길,14,울산청,울산북부,명촌,지구대,052-289-0112,울산광역시 북구 명촌21길14,울산광역시 북구 명촌21길14,413476.0,231343.0,정좌표,31200121001059118,새주소,울산광역시 북구 명촌21길 14,울산광역시 북구 진장동 591-6,442540,31200560000,효문동,31200121000,진장동,울산광역시 북구 명촌21길 14
571,울산광역시,북구,호계로,194,울산청,울산북부,농소1,파출소,052-295-0112,울산광역시 북구 호계로 194,울산광역시 북구 호계로 194,413369.0,238312.0,정좌표,31200102001086218,새주소,울산광역시 북구 호계로 194,울산광역시 북구 호계동 862-2,442290,31200510000,농소1동,31200102000,호계동,울산광역시 북구 호계로 194
572,울산광역시,북구,아진로,74,울산청,울산북부,농소3,파출소,052-282-0112,울산광역시 북구 아진로 74,울산광역시 북구 아진로 74,411967.0,239214.0,정좌표,31200107001035818,새주소,울산광역시 북구 아진로 74,울산광역시 북구 상안동 358-31,442080,31200530000,농소3동,31200107000,상안동,울산광역시 북구 아진로 74
573,울산광역시,북구,염포로,549,울산청,울산북부,양정,파출소,052-287-0112,울산광역시 북구 염포로 549,울산광역시 북구 염포로 549,416263.0,229595.0,정좌표,31200124001060418,새주소,울산광역시 북구 염포로 549,울산광역시 북구 양정동 604-6,442600,31200580000,양정동,31200124000,양정동,울산광역시 북구 염포로 549
574,울산광역시,북구,산음12길,6,울산청,울산북부,강동,파출소,052-298-0112,울산광역시 북구 산음12길 6,울산광역시 북구 산음12길 6,420619.0,239342.0,정좌표,3120011800110118,새주소,울산광역시 북구 산음12길 6,울산광역시 북구 산하동 1010-2,442640,31200540000,강동동,31200118000,산하동,울산광역시 북구 산음12길 6
575,울산광역시,울주군,서생면,해맞이로 867,울산청,울산울주,서생,파출소,052-239-0112,울산광역시 울주군 서생면 해맞이로 867,울산광역시 울주군 서생면 해맞이로 867,411097.0,207877.0,정좌표,31710310211039318,새주소,울산광역시 울주군 서생면 해맞이로 867,울산광역시 울주군 서생면 신암리 393-1,450140,31710310000,서생면,31710310210,서생면 신암리,울산광역시 울주군 서생면 해맞이로 867
576,울산광역시,울주군,범서읍,대리로 12,울산청,울산울주,범서,파출소,052-211-8112,울산광역시 울주군 범서읍 대리로 12,울산광역시 울주군 범서읍 대리로 12,403359.0,232512.0,정좌표,31710259271021518,새주소,울산광역시 울주군 범서읍 대리로 12,울산광역시 울주군 범서읍 구영리 215-2,449220,31710259000,범서읍,31710259270,범서읍 구영리,울산광역시 울주군 범서읍 대리로 12
577,울산광역시,울주군,언양읍,남천둑길 7,울산청,울산울주,언양,파출소,052-262-0112,울산광역시 울주군 언양읍 남천둑길 7,울산광역시 울주군 언양읍 남천둑길 7,393201.0,231075.0,도로중심좌표,317100,새주소,울산광역시 울주군 언양읍 남천둑길 7,울산광역시 울주군 언양읍,,31710253000,언양읍,31710253000,언양읍,울산광역시 울주군 언양읍 남천둑길 7
578,울산광역시,울주군,온양읍,남창2길 30,울산청,울산울주,온양,파출소,052-238-0112,울산광역시 울주군 온양읍 남창2길 30,울산광역시 울주군 온양읍 남창2길 30,407235.0,215468.0,정좌표,31710256241015418,새주소,울산광역시 울주군 온양읍 남창2길 30,울산광역시 울주군 온양읍 남창리 154-3,449740,31710256000,온양읍,31710256240,온양읍 남창리,울산광역시 울주군 온양읍 남창2길 30
579,울산광역시,울주군,온산읍,덕신로 229,울산청,울산울주,온산,파출소,052-237-0112,울산광역시 울주군 온산읍 덕신로 229,울산광역시 울주군 온산읍 덕신로 229,409405.0,217367.0,정좌표,31710250321057918,새주소,울산광역시 울주군 온산읍 덕신로 229,울산광역시 울주군 온산읍 덕신리 579-2,450030,31710250000,온산읍,31710250320,온산읍 덕신리,울산광역시 울주군 온산읍 덕신로 229
580,울산광역시,울주군,두동면,대밀길 25,울산청,울산울주,두동,파출소,052-262-7612,울산광역시 울주군 두동면 대밀길 25,울산광역시 울주군 두동면 대밀길 25,399298.0,241655.0,정좌표,31710360221064918,새주소,울산광역시 울주군 두동면 대밀길 25,울산광역시 울주군 두동면 구미리 649-3,449150,31710360000,두동면,31710360220,두동면 구미리,울산광역시 울주군 두동면 대밀길 25
581,울산광역시,울주군,상북면,상북로 294,울산청,울산울주,상북,파출소,052-263-0112,울산광역시 울주군 상북면 상북로 294,울산광역시 울주군 상북면 상북로 294,389323.0,234369.0,정좌표,31710380231040618,새주소,울산광역시 울주군 상북면 상북로 294,울산광역시 울주군 상북면 산전리 406-1,449020,31710380000,상북면,31710380230,상북면 산전리,울산광역시 울주군 상북면 상북로 294
582,울산광역시,울주군,삼남읍,중남로 47,울산청,울산울주,삼남,파출소,052-254-0112,울산광역시 울주군 삼남면 중남로 47,울산광역시 울주군 삼남면 중남로 47,391066.0,228278.0,정좌표,31710265251001918,새주소,울산광역시 울주군 삼남읍 중남로 47,울산광역시 울주군 삼남읍 가천리 19-2,449530,31710265000,삼남읍,31710265250,삼남읍 가천리,울산광역시 울주군 삼남읍 중남로 47
583,울산광역시,울주군,청량읍,온산로 767,울산청,울산울주,청량,파출소,052-269-0112,울산광역시 울주군 청량읍 온산로 767,울산광역시 울주군 청량읍 온산로 767,409157.0,224198.0,정좌표,3171026223105218,새주소,울산광역시 울주군 청량읍 온산로 767,울산광역시 울주군 청량읍 상남리 520-5,449840,31710262000,청량읍,31710262230,청량읍 상남리,울산광역시 울주군 청량읍 온산로 767
584,울산광역시,울주군,웅촌면,곡천검단로 15,울산청,울산울주,웅촌,파출소,052-225-0112,울산광역시 울주군 웅촌면 곡천검단로 15,울산광역시 울주군 웅촌면 곡천검단로 15,400177.0,220440.0,정좌표,31710340231089618,새주소,울산광역시 울주군 웅촌면 곡천검단로 15,울산광역시 울주군 웅촌면 곡천리 896-2,449650,31710340000,웅촌면,31710340230,웅촌면 곡천리,울산광역시 울주군 웅촌면 곡천검단로 15
585,세종특별자치시,,용포로,62,세종청,세종남부,금남,파출소,044-866-7112,세종특별자치시  금남면 용포로 62,세종특별자치시  금남면 용포로 62,225126.0,329264.0,정좌표,3611034021101218,새주소,세종특별자치시 금남면 용포로 62,세종특별자치시 세종시 금남면 용포리 120-3,300830,36110340000,금남면,36110340210,금남면 용포리,세종특별자치시 금남면 용포로 62
586,세종특별자치시,,31,,세종청,세종남부,한솔,지구대,044-864-0112,세종특별자치시   노을3로 31,세종특별자치시   노을3로 31,223148.0,331063.0,정좌표,36110106001094318,새주소,세종특별자치시 노을3로 31,세종특별자치시 세종시 한솔동 943,301300,36110510000,한솔동,36110106000,한솔동,세종특별자치시 노을3로 31
587,세종특별자치시,,113,,세종청,세종남부,아름,지구대,044-862-9112,세종특별자치시   보듬3로 113,세종특별자치시   보듬3로 113,222060.0,334517.0,정좌표,3611011300113518,새주소,세종특별자치시 보듬3로 113,세종특별자치시 세종시 아름동 1350,301000,36110530000,아름동,36110113000,아름동,세종특별자치시 보듬3로 113
588,세종특별자치시,,3,,세종청,세종남부,청사,지구대,044-320-8105,세종특별자치시   다솜3로 3,세종특별자치시   다솜3로 3,223752.0,332820.0,정좌표,36110110001065318,새주소,세종특별자치시 다솜3로 3,세종특별자치시 세종시 어진동 653,301190,36110523000,어진동,36110110000,어진동,세종특별자치시 다솜3로 3
589,세종특별자치시,,440,,세종청,세종남부,보람,지구대,044-866-5112,세종특별자치시 남세종로 440,세종특별자치시 남세종로 440,226007.0,330789.0,정좌표,36110103001076418,새주소,세종특별자치시 남세종로 440,세종특별자치시 세종시 보람동 764,301500,36110560000,보람동,36110103000,보람동,세종특별자치시 남세종로 440
590,세종특별자치시,,새내로,140,세종청,세종북부,조치원,지구대,044-863-0112,세종특별자치시  조치원읍 새내로 140,세종특별자치시  조치원읍 새내로 140,226594.0,344843.0,정좌표,3611025024100118,새주소,세종특별자치시 조치원읍 새내로 140,세종특별자치시 세종시 조치원읍 교리 10-4,300240,36110250000,조치원읍,36110250240,조치원읍 교리,세종특별자치시 조치원읍 새내로 140
591,세종특별자치시,세종시,부강면,청연로 606-1,세종청,세종북부,연동,파출소,044-864-7112,세종특별자치시  부강면 청연로 606-1,세종특별자치시  부강면 청연로 606-1,232611.0,336942.0,도로중심좌표,361100,새주소,세종특별자치시 세종시 부강면 청연로 606-1,세종특별자치시 세종시 부강면,,36110330000,부강면,36110330000,부강면,세종특별자치시 세종시 부강면 청연로 606-1
592,세종특별자치시,,만세길,6,세종청,세종북부,전의,파출소,044-836-2112,세종특별자치시  전의면 만세길 6 ,세종특별자치시  전의면 만세길 6 ,218109.0,353113.0,정좌표,36110370211026618,새주소,세종특별자치시 전의면 만세길 6,세종특별자치시 세종시 전의면 읍내리 266-1,300040,36110370000,전의면,36110370210,전의면 읍내리,세종특별자치시 전의면 만세길 6
593,세종특별자치시,,하노장4길,9,세종청,세종북부,전동,파출소,044-863-1112,세종특별자치시  전동면 하노장4길 9,세종특별자치시  전동면 하노장4길 9,223626.0,350546.0,정좌표,36110380211058318,새주소,세종특별자치시 전동면 하노장4길 9,세종특별자치시 세종시 전동면 노장리 583-1,300110,36110380000,전동면,36110380210,전동면 노장리,세종특별자치시 전동면 하노장4길 9
594,세종특별자치시,,부강신대길,72-2,세종청,세종북부,부강,파출소,044-275-4112,세종특별자치시  부강면 부강신대길 72-2,세종특별자치시  부강면 부강신대길 72-2,232569.0,336710.0,정좌표,36110330211041218,새주소,세종특별자치시 부강면 부강신대길 72-2,세종특별자치시 세종시 부강면 부강리 412-2,300760,36110330000,부강면,36110330210,부강면 부강리,세종특별자치시 부강면 부강신대길 72-2
595,경기도,수원시,장안구,송정로 113,경기남부청,수원중부,장안문,지구대,031-299-5100,경기도 수원시 장안구 송정로 113,경기도 수원시 장안구 송정로 113,200775.0,421535.0,정좌표,4111113600106818,새주소,경기도 수원시 장안구 송정로 113,경기도 수원시 장안구 조원동 680-6,163080,41111597000,조원1동,41111136000,조원동,경기도 수원시 장안구 송정로 113
596,경기도,수원시,장안구,이목로 58,경기남부청,수원중부,노송,지구대,031-299-5101,경기도 수원시 장안구 이목로 58,경기도 수원시 장안구 이목로 58,198870.0,423154.0,정좌표,41111129001056618,새주소,경기도 수원시 장안구 이목로 58,경기도 수원시 장안구 파장동 566-14,163470,41111560000,파장동,41111129000,파장동,경기도 수원시 장안구 이목로 58
597,경기도,수원시,팔달구,수성로182번길 3,경기남부청,수원중부,화서문,지구대,031-299-5102,경기도 수원시 팔달구 수성로182번길 3,경기도 수원시 팔달구 수성로182번길 3,199327.0,420525.0,정좌표,41115138001064718,새주소,경기도 수원시 팔달구 수성로182번길 3,경기도 수원시 팔달구 화서동 647-1,164350,41115690000,화서2동,41115138000,화서동,경기도 수원시 팔달구 수성로182번길 3
598,경기도,수원시,장안구,경수대로 758,경기남부청,수원중부,창룡문,지구대,031-299-5103,경기도 수원시 장안구 경수대로 758,경기도 수원시 장안구 경수대로 758,201883.0,421010.0,정좌표,41111137001025418,새주소,경기도 수원시 장안구 경수대로 758,경기도 수원시 장안구 연무동 254-11,162210,41111600000,연무동,41111137000,연무동,경기도 수원시 장안구 경수대로 758
599,경기도,수원시,팔달구,경수대로 621,경기남부청,수원중부,동부,파출소,031--299-5104,경기도 수원시 팔달구 경수대로 621,경기도 수원시 팔달구 경수대로 621,202565.0,419885.0,정좌표,4111513900104818,새주소,경기도 수원시 팔달구 경수대로 621,경기도 수원시 팔달구 지동 480-6,162490,41115700000,지동,41115139000,지동,경기도 수원시 팔달구 경수대로 621
600,경기도,수원시,장안구,하률로 2,경기남부청,수원중부,율천,파출소,031-299-5105,경기도 수원시 장안구 하률로 2,경기도 수원시 장안구 하률로 2,197580.0,422307.0,정좌표,41111133001055718,새주소,경기도 수원시 장안구 하률로 2,경기도 수원시 장안구 천천동 557-1,163240,41111573000,정자3동,41111133000,천천동,경기도 수원시 장안구 하률로 2
601,경기도,수원시,,,경기남부청,수원중부,행궁,파출소,031-299-5106,경기도 수원시 찰달구 창룡대로 48,경기도 수원시 찰달구 창룡대로 48,202456.0,417933.0,시군구 좌표,41110,판별불가,,경기도 수원시,,,,,,경기도 수원시
602,경기도,수원시,팔달구,장다리로 312,경기남부청,수원남부,인계,지구대,031 - 299 - 1118,경기 수원시 팔달구 장다리로 312,경기 수원시 팔달구 장다리로 312,202718.0,419310.0,정좌표,4111514100109318,새주소,경기도 수원시 팔달구 장다리로 312,경기도 수원시 팔달구 인계동 930-1,164840,41115730000,인계동,41115141000,인계동,경기도 수원시 팔달구 장다리로 312
603,경기도,수원시,영통구,매영로 93-18,경기남부청,수원남부,산남,지구대,031 - 299 - 1128,경기 수원시 영통구 매영로 93-18,경기 수원시 영통구 매영로 93-18,204638.0,418531.0,정좌표,41117101001121318,새주소,경기도 수원시 영통구 매영로 93-18,경기도 수원시 영통구 매탄동 1213-2,165270,41117520000,매탄2동,41117101000,매탄동,경기도 수원시 영통구 매영로 93-18
604,경기도,수원시,권선구,권중로 77,경기남부청,수원남부,곡선,지구대,031 - 299 - 1138,경기 수원시 권선구 권중로77,경기 수원시 권선구 권중로77,202592.0,416657.0,정좌표,41113137001126818,새주소,경기도 수원시 권선구 권중로 77,경기도 수원시 권선구 권선동 1268,165580,41113680000,권선2동,41113137000,권선동,경기도 수원시 권선구 권중로 77
605,경기도,수원시,영통구,청명로 92,경기남부청,수원남부,영통,지구대,031 - 299 - 1148,경기 수원시 영통구 청명로 92,경기 수원시 영통구 청명로 92,206843.0,416995.0,정좌표,41117105001104618,새주소,경기도 수원시 영통구 청명로 92,경기도 수원시 영통구 영통동 1046-2,167090,41117570000,영통1동,41117105000,영통동,경기도 수원시 영통구 청명로 92
606,경기도,수원시,팔달구,동수원로 403,경기남부청,수원남부,매탄,지구대,031 - 299 - 1158,경기 수원시 팔달구 동수원로 403,경기 수원시 팔달구 동수원로 403,203474.0,418139.0,정좌표,41115141001111718,새주소,경기도 수원시 팔달구 동수원로 403,경기도 수원시 팔달구 인계동 1117-1,164880,41115730000,인계동,41115141000,인계동,경기도 수원시 팔달구 동수원로 403
607,경기도,수원시,권선구,정조로 370,경기남부청,수원남부,세류,지구대,031 - 299 - 1168,경기 수원시 권선구 정조로 370,경기 수원시 권선구 정조로 370,201281.0,415647.0,정좌표,4111312600111670318,새주소,경기도 수원시 권선구 정조로 370,경기도 수원시 권선구 세류동 1167-33,166600,41113530000,세류2동,41113126000,세류동,경기도 수원시 권선구 정조로 370
608,경기도,수원시,권선구,권선로699번길 24-23,경기남부청,수원남부,권선,파출소,031 - 299 - 1178,경기 수원시 권선로 699번길 24-23,경기 수원시 권선로 699번길 24-23,202554.0,417548.0,정좌표,41113137001101318,새주소,경기도 수원시 권선구 권선로699번길 24-23,경기도 수원시 권선구 권선동 1013-23,165710,41113670000,권선1동,41113137000,권선동,경기도 수원시 권선구 권선로699번길 24-23
609,경기도,수원시,영통구,영통로 143,경기남부청,수원남부,태장,파출소,031 - 299 - 1188,경기 수원시 영통구 영통로 143,경기 수원시 영통구 영통로 143,204847.0,415384.0,정좌표,41117107001039618,새주소,경기도 수원시 영통구 영통로 143,경기도 수원시 영통구 망포동 396-1,166880,41117596000,망포2동,41117107000,망포동,경기도 수원시 영통구 영통로 143
