연번,시도청,경찰서,관서명,구분,전화번호,주소,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명,법정동코드_10자리,시도코드,시군구코드,읍면동코드,시,구,동,지역구별 지구대/파출소 수
336,부산청,부산기장,정관,지구대,051-727-3112,부산광역시 기장군 정관읍 용수로 17,부산광역시 기장군 정관읍 용수로 17,398075.0,205021.0,정좌표,2.67102562811314e+18,새주소,부산광역시 기장군 정관읍 용수로 17,부산광역시 기장군 정관읍 용수리 1314-2,46014.0,2671025600.0,정관읍,2671025628.0,정관읍 용수리,2671025628,26,710,25628,서울특별시,송파구,정관읍 용수리,72.0
337,부산청,부산기장,철마,파출소,051-721-9112,부산광역시 기장군 철마면 철마로 473,부산광역시 기장군 철마면 철마로 473,395423.0,199411.0,정좌표,2.67103302210302e+18,새주소,부산광역시 기장군 철마면 철마로 473,부산광역시 기장군 철마면 장전리 302-1,46049.0,2671033000.0,철마면,2671033022.0,철마면 장전리,2671033022,26,710,33022,서울특별시,송파구,철마면 장전리,72.0
338,대구청,대구중부,서문,지구대,053-420-1302,대구광역시 중구 국채보상로 99길 12,대구광역시 중구 국채보상로 99길 12,342977.0,264620.0,정좌표,2.7110140001001503e+18,새주소,대구광역시 중구 국채보상로99길 12,대구광역시 중구 동산동 15-30,41921.0,2711058500.0,성내3동,2711014000.0,동산동,2711014000,27,110,14000,서울특별시,종로구,동산동,100.0
339,대구청,대구중부,동덕,지구대,053-420-1306,대구광역시 중구 국채보상로 140길 16,대구광역시 중구 국채보상로 140길 16,344980.0,264288.0,정좌표,2.71101020010227e+18,새주소,대구광역시 중구 국채보상로140길 16,대구광역시 중구 동인동2가 227-8,41944.0,2711051700.0,동인동,2711010200.0,동인동2가,2711010200,27,110,10200,서울특별시,종로구,동인동2가,100.0
340,대구청,대구중부,남산,지구대,053-420-1304,대구광역시 중구 달구벌대로 2048,대구광역시 중구 달구벌대로 2048,343325.0,264038.0,정좌표,2.71101560010323e+18,새주소,대구광역시 중구 달구벌대로 2048,대구광역시 중구 남산동 323-1,41965.0,2711065000.0,남산2동,2711015600.0,남산동,2711015600,27,110,15600,서울특별시,종로구,남산동,100.0
341,대구청,대구중부,중앙,파출소,053-420-1311,대구광역시 중구 중앙대로 81길 88,대구광역시 중구 중앙대로 81길 88,343423.0,264436.0,정좌표,2.71101110010056e+18,새주소,대구광역시 중구 중앙대로81길 88,대구광역시 중구 수동 56-1,41934.0,2711057500.0,성내2동,2711011100.0,수동,2711011100,27,110,11100,서울특별시,종로구,수동,100.0
342,대구청,대구동부,큰고개,지구대,053-960-3309,대구광역시 동구 큰고개로36,대구광역시 동구 큰고개로36,346670.0,266509.0,정좌표,2.7140101001181e+18,새주소,대구광역시 동구 큰고개로 36,대구광역시 동구 신암동 1810-2,41189.0,2714054000.0,신암4동,2714010100.0,신암동,2714010100,27,140,10100,서울특별시,중구,신암동,66.0
343,대구청,대구동부,동촌,지구대,053-960-3305,대구광역시 동구 해동로 184,대구광역시 동구 해동로 184,348817.0,266398.0,정좌표,2.71401100010984e+18,새주소,대구광역시 동구 해동로 184,대구광역시 동구 검사동 984-2,41155.0,2714065500.0,동촌동,2714011000.0,검사동,2714011000,27,140,11000,서울특별시,중구,검사동,66.0
344,대구청,대구동부,안심,지구대,053-960-3314,대구광역시 동구 반야월로 219,대구광역시 동구 반야월로 219,354596.0,264909.0,정좌표,2.71401160010044e+18,새주소,대구광역시 동구 반야월로 219,대구광역시 동구 동호동 44,41126.0,2714074700.0,안심4동,2714011600.0,동호동,2714011600,27,140,11600,서울특별시,중구,동호동,66.0
345,대구청,대구동부,남신암,지구대,053-960--3304,대구광역시 동구 대현로 126,대구광역시 동구 대현로 126,345532.0,265764.0,정좌표,2.71401010010819e+18,새주소,대구광역시 동구 대현로 126,대구광역시 동구 신암동 819-2,41200.0,2714052000.0,신암2동,2714010100.0,신암동,2714010100,27,140,10100,서울특별시,중구,신암동,66.0
346,대구청,대구동부,동대구,지구대,053-960-3316,대구광역시 동구 동대구로85길 53,대구광역시 동구 동대구로85길 53,346614.0,265082.0,정좌표,2.71401020010078e+18,새주소,대구광역시 동구 동대구로85길 53,대구광역시 동구 신천동 78-2,41256.0,2714057000.0,신천3동,2714010200.0,신천동,2714010200,27,140,10200,서울특별시,중구,신천동,66.0
347,대구청,대구동부,팔공,파출소,053-960-3301,대구광역시 동구 팔공로 197길 47,대구광역시 동구 팔공로 197길 47,352528.0,274201.0,정좌표,2.71401350010569e+18,새주소,대구광역시 동구 팔공로197길 47,대구광역시 동구 백안동 569,41009.0,2714076000.0,공산동,2714013500.0,백안동,2714013500,27,140,13500,서울특별시,중구,백안동,66.0
348,대구청,대구동부,공산,파출소,053-960-3302,대구광역시 동구 파계로 546,대구광역시 동구 파계로 546,347265.0,276668.0,정좌표,2.7140142001058e+18,새주소,대구광역시 동구 파계로 546,대구광역시 동구 중대동 580-1,41001.0,2714076000.0,공산동,2714014200.0,중대동,2714014200,27,140,14200,서울특별시,중구,중대동,66.0
349,대구청,대구동부,봉무불로,파출소,053-960-3307,대구광역시 동구 위남로9,대구광역시 동구 위남로9,347949.0,270907.0,정좌표,2.71401050011518e+18,새주소,대구광역시 동구 위남로 9,대구광역시 동구 봉무동 1518,41019.0,2714062000.0,불로.봉무동,2714010500.0,봉무동,2714010500,27,140,10500,서울특별시,중구,봉무동,66.0
350,대구청,대구동부,동내혁신,파출소,053-960-3706,대구 동구 동내로 120,대구 동구 동내로 120,356503.0,265989.0,정좌표,2.71401250011114e+18,새주소,대구광역시 동구 동내로 120,대구광역시 동구 동내동 1114,41061.0,2714075500.0,혁신동,2714012500.0,동내동,2714012500,27,140,12500,서울특별시,중구,동내동,66.0
351,대구청,대구서부,평산,지구대,053-608-3309,대구광역시 서구 달서로26길 1,대구광역시 서구 달서로26길 1,341850.0,264823.0,정좌표,2.71701020010434e+18,새주소,대구광역시 서구 달서로26길 1,대구광역시 서구 비산동 434-27,41798.0,2717056500.0,비산2.3동,2717010200.0,비산동,2717010200,27,170,10200,서울특별시,용산구,비산동,80.0
352,대구청,대구서부,서도,지구대,053-608-3307,대구광역시 서구 국채보상로 260,대구광역시 서구 국채보상로 260,340773.0,264543.0,정좌표,2.71701030011218e+18,새주소,대구광역시 서구 국채보상로 260,대구광역시 서구 평리동 1218-5,41825.0,2717065000.0,평리4동,2717010300.0,평리동,2717010300,27,170,10300,서울특별시,용산구,평리동,80.0
353,대구청,대구서부,이현,지구대,053-608-3311,대구광역시 서구 국채보상로 117,대구광역시 서구 국채보상로 117,339372.0,264306.0,정좌표,2.71701060010044e+18,새주소,대구광역시 서구 국채보상로 117,대구광역시 서구 이현동 44-35,41759.0,2717067500.0,상중이동,2717010600.0,이현동,2717010600,27,170,10600,서울특별시,용산구,이현동,80.0
354,대구청,대구서부,비원,지구대,053-608-3308,대구광역시 서구 고성로 83,대구광역시 서구 고성로 83,342192.0,265959.0,정좌표,2.71701090011449e+18,새주소,대구광역시 서구 고성로 83,대구광역시 서구 원대동3가 1449-3,41729.0,2717069500.0,원대동,2717010900.0,원대동3가,2717010900,27,170,10900,서울특별시,용산구,원대동3가,80.0
355,대구청,대구서부,내당4동,파출소,053-608-3303,대구광역시 서구 달구벌대로 1737,대구광역시 서구 달구벌대로 1737,340406.0,263023.0,정좌표,2.71701010010468e+18,새주소,대구광역시 서구 달구벌대로 1737,대구광역시 서구 내당동 468-5,41857.0,2717054000.0,내당4동,2717010100.0,내당동,2717010100,27,170,10100,서울특별시,용산구,내당동,80.0
356,대구청,대구남부,봉천,지구대,053-650-2301,대구광역시 남구 봉덕로 87,대구광역시 남구 봉덕로 87,344492.0,261721.0,정좌표,2.72001020010554e+18,새주소,대구광역시 남구 봉덕로 87,대구광역시 남구 봉덕동 554-28,42438.0,2720053000.0,봉덕1동,2720010200.0,봉덕동,2720010200,27,200,10200,서울특별시,성동구,봉덕동,65.0
357,대구청,대구남부,동대명,지구대,053-650-2302,대구광역시 남구 양지로 100,대구광역시 남구 양지로 100,342578.0,262381.0,정좌표,2.72001030012152e+18,새주소,대구광역시 남구 양지로 100,대구광역시 남구 대명동 2152-7,42455.0,2720058600.0,대명3동,2720010300.0,대명동,2720010300,27,200,10300,서울특별시,성동구,대명동,65.0
358,대구청,대구남부,서대명,파출소,053-650-2303,대구광역시 남구 대명남로 177,대구광역시 남구 대명남로 177,342464.0,260660.0,정좌표,2.72001030010735e+18,새주소,대구광역시 남구 대명남로 177,대구광역시 남구 대명동 735-2,42488.0,2720064000.0,대명9동,2720010300.0,대명동,2720010300,27,200,10300,서울특별시,성동구,대명동,65.0
359,대구청,대구남부,대명,파출소,053-650-2304,대구광역시 남구 두류공원로 113,대구광역시 남구 두류공원로 113,341518.0,261797.0,정좌표,2.72001030013047e+18,새주소,대구광역시 남구 두류공원로 113,대구광역시 남구 대명동 3047-11,42471.0,2720059000.0,대명4동,2720010300.0,대명동,2720010300,27,200,10300,서울특별시,성동구,대명동,65.0
360,대구청,대구남부,남대명,파출소,053-650-2305,대구광역시 남구 대명남로 55,대구광역시 남구 대명남로 55,341269.0,260576.0,정좌표,2.72001030013073e+18,새주소,대구광역시 남구 대명남로 55,대구광역시 남구 대명동 3073,42483.0,2720061000.0,대명6동,2720010300.0,대명동,2720010300,27,200,10300,서울특별시,성동구,대명동,65.0
361,대구청,대구북부,노원,지구대,053-380-5302,대구광역시 북구 오봉로 122,대구광역시 북구 오봉로 122,342517.0,267619.0,정좌표,2.72301060011055e+18,새주소,대구광역시 북구 오봉로 122,대구광역시 북구 침산동 1055-2,41545.0,2723055000.0,침산1동,2723010600.0,침산동,2723010600,27,230,10600,서울특별시,동대문구,침산동,65.0
362,대구청,대구북부,복현,지구대,053-380-5303,대구광역시 북구 경진로1길 50,대구광역시 북구 경진로1길 50,345996.0,267215.0,정좌표,2.72301120010431e+18,새주소,대구광역시 북구 경진로1길 50,대구광역시 북구 복현동 431-1,41562.0,2723067100.0,복현1동,2723011200.0,복현동,2723011200,27,230,11200,서울특별시,동대문구,복현동,65.0
363,대구청,대구북부,고성,지구대,053-380-5301,대구광역시 북구 침산로 24,대구광역시 북구 침산로 24,343423.0,265439.0,정좌표,2.72301020010087e+18,새주소,대구광역시 북구 침산로 24,대구광역시 북구 칠성동2가 87,41588.0,2723052600.0,칠성동,2723010200.0,칠성동2가,2723010200,27,230,10200,서울특별시,동대문구,칠성동2가,65.0
364,대구청,대구북부,산격,지구대,053-380-5304,대구광역시 북구 연암로 114,대구광역시 북구 연암로 114,343912.0,267220.0,정좌표,2.7230111001084e+18,새주소,대구광역시 북구 연암로 114,대구광역시 북구 산격동 840-1,41540.0,2723061000.0,산격1동,2723011100.0,산격동,2723011100,27,230,11100,서울특별시,동대문구,산격동,65.0
365,대구청,대구수성,고산,지구대,053-600-6303,대구광역시 수성구 고산로 150,대구광역시 수성구 고산로 150,354103.0,261753.0,정좌표,2.72601150011325e+18,새주소,대구광역시 수성구 고산로 150,대구광역시 수성구 매호동 1325-7,42266.0,2726069000.0,고산3동,2726011500.0,매호동,2726011500,27,260,11500,서울특별시,중랑구,매호동,29.0
366,대구청,대구수성,황금,지구대,053-600-6318,대구광역시 수성구 청수로 245,대구광역시 수성구 청수로 245,347618.0,261328.0,정좌표,2.72601070010148e+18,새주소,대구광역시 수성구 청수로 245,대구광역시 수성구 황금동 148-5,42113.0,2726060100.0,황금1동,2726010700.0,황금동,2726010700,27,260,10700,서울특별시,중랑구,황금동,29.0
367,대구청,대구수성,만촌,지구대,053-600-6305,대구광역시 수성구 무열로 111,대구광역시 수성구 무열로 111,348849.0,264376.0,정좌표,2.72601020010977e+18,새주소,대구광역시 수성구 무열로 111,대구광역시 수성구 만촌동 977-11,42051.0,2726056000.0,만촌2동,2726010200.0,만촌동,2726010200,27,260,10200,서울특별시,중랑구,만촌동,29.0
368,대구청,대구수성,상동,지구대,053-600-6312,대구광역시 수성구 들안로 54,대구광역시 수성구 들안로 54,346048.0,260584.0,정좌표,2.72601110010138e+18,새주소,대구광역시 수성구 들안로 54,대구광역시 수성구 두산동 138-8,42173.0,2726064000.0,두산동,2726011100.0,두산동,2726011100,27,260,11100,서울특별시,중랑구,두산동,29.0
369,대구청,대구수성,지산,지구대,053-600-6315,대구광역시 수성구 지범로 155,대구광역시 수성구 지범로 155,347880.0,259343.0,정좌표,2.72601120011277e+18,새주소,대구광역시 수성구 지범로 155,대구광역시 수성구 지산동 1277-16,42196.0,2726065100.0,지산1동,2726011200.0,지산동,2726011200,27,260,11200,서울특별시,중랑구,지산동,29.0
370,대구청,대구수성,범어,지구대,053-600-6307,대구광역시 수성구 동대구로 313,대구광역시 수성구 동대구로 313,346721.0,263249.0,정좌표,2.72601010010563e+18,새주소,대구광역시 수성구 동대구로 313,대구광역시 수성구 범어동 563-8,42117.0,2726051000.0,범어1동,2726010100.0,범어동,2726010100,27,260,10100,서울특별시,중랑구,범어동,29.0
371,대구청,대구수성,파동,파출소,053-600-6317,대구광역시 수성구 파동로 2길 30,대구광역시 수성구 파동로 2길 30,346467.0,257712.0,정좌표,2.72601100010473e+18,새주소,대구광역시 수성구 파동로2길 30,대구광역시 수성구 파동 473-4,42238.0,2726063000.0,파동,2726011000.0,파동,2726011000,27,260,11000,서울특별시,중랑구,파동,29.0
372,대구청,대구달서,월배,지구대,053-632-0112,대구광역시 달서구 월배로 108,대구광역시 달서구 월배로 108,337879.0,258186.0,정좌표,2.72901170010526e+18,새주소,대구광역시 달서구 월배로 108,대구광역시 달서구 진천동 526-10,42801.0,2729061500.0,진천동,2729011700.0,진천동,2729011700,27,290,11700,서울특별시,성북구,진천동,40.0
373,대구청,대구달서,상인,지구대,053-638-0112,대구광역시 달서구 상인서로 36,대구광역시 달서구 상인서로 36,339572.0,258197.0,정좌표,2.72901150011528e+18,새주소,대구광역시 달서구 상인서로 36,대구광역시 달서구 상인동 1528-2,42812.0,2729062400.0,상인1동,2729011500.0,상인동,2729011500,27,290,11500,서울특별시,성북구,상인동,40.0
374,대구청,대구달서,송현,지구대,053-631-0112,대구광역시 달서구 학산로 184,대구광역시 달서구 학산로 184,339671.0,260378.0,정좌표,2.729012200105e+18,새주소,대구광역시 달서구 학산로 184,대구광역시 달서구 송현동 500-13,42738.0,2729064000.0,송현2동,2729012200.0,송현동,2729012200,27,290,12200,서울특별시,성북구,송현동,40.0
375,대구청,대구달서,월성,파출소,053-635-0112,대구광역시 달서구 월성로 69,대구광역시 달서구 월성로 69,338002.0,260039.0,정좌표,2.72901200010086e+18,새주소,대구광역시 달서구 월성로 69,대구광역시 달서구 월성동 86-2,42732.0,2729060200.0,월성2동,2729012000.0,월성동,2729012000,27,290,12000,서울특별시,성북구,월성동,40.0
376,대구청,대구달서,대곡,파출소,053-662-6333,대구광역시 달서구 갈밭로 51,대구광역시 달서구 갈밭로 51,338101.0,256982.0,정좌표,2.72901230011094e+18,새주소,대구광역시 달서구 갈밭로 51,대구광역시 달서구 대곡동 1094,42842.0,2729061500.0,진천동,2729012300.0,대곡동,2729012300,27,290,12300,서울특별시,성북구,대곡동,40.0
377,대구청,대구성서,신당,지구대,053-609-0301,대구광역시 달서구 선원로 62,대구광역시 달서구 선원로 62,335341.0,263125.0,정좌표,2.72901070011749e+18,새주소,대구광역시 달서구 선원로 62,대구광역시 달서구 신당동 1749-2,42609.0,2729058500.0,신당동,2729010700.0,신당동,2729010700,27,290,10700,서울특별시,성북구,신당동,40.0
378,대구청,대구성서,죽전,파출소,053-609-0303,대구광역시 달서구 용산로 212,대구광역시 달서구 용산로 212,338220.0,262898.0,정좌표,2.72901110010934e+18,새주소,대구광역시 달서구 용산로 212,대구광역시 달서구 용산동 934-5,42631.0,2729057100.0,용산1동,2729011100.0,용산동,2729011100,27,290,11100,서울특별시,성북구,용산동,40.0
379,대구청,대구성서,성당,파출소,053-609-0313,대구광역시 달서구 구마로39길 83-16,대구광역시 달서구 구마로39길 83-16,339697.0,261225.0,정좌표,2.72901010010836e+18,새주소,대구광역시 달서구 구마로39길 83-16,대구광역시 달서구 성당동 836,42677.0,2729051500.0,성당동,2729010100.0,성당동,2729010100,27,290,10100,서울특별시,성북구,성당동,40.0
380,대구청,대구성서,두류3동,파출소,053-609-0312,대구광역시 달서구 야외음악당로 202,대구광역시 달서구 야외음악당로 202,340515.0,262996.0,정좌표,2.72901020010532e+18,새주소,대구광역시 달서구 야외음악당로 202,대구광역시 달서구 두류동 532-8,42672.0,2729055000.0,두류3동,2729010200.0,두류동,2729010200,27,290,10200,서울특별시,성북구,두류동,40.0
381,대구청,대구성서,성서,파출소,053-609-0316,대구광역시 달서구 달구벌대로 1327,대구광역시 달서구 달구벌대로 1327,336568.0,262282.0,정좌표,2.72901080010735e+18,새주소,대구광역시 달서구 달구벌대로 1327,대구광역시 달서구 이곡동 735-1,42620.0,2729057600.0,이곡1동,2729010800.0,이곡동,2729010800,27,290,10800,서울특별시,성북구,이곡동,40.0
382,대구청,대구성서,용산,파출소,053-609-0315,대구광역시 달서구 선원로 276,대구광역시 달서구 선원로 276,337478.0,263113.0,정좌표,2.72901110010499e+18,새주소,대구광역시 달서구 선원로 276,대구광역시 달서구 용산동 499-15,42617.0,2729057200.0,용산2동,2729011100.0,용산동,2729011100,27,290,11100,서울특별시,성북구,용산동,40.0
383,대구청,대구성서,두류,파출소,053-609-0311,대구광역시 달서구 야외음악당로 280,대구광역시 달서구 야외음악당로 280,341275.0,262936.0,정좌표,2.72901020010131e+18,새주소,대구광역시 달서구 야외음악당로 280,대구광역시 달서구 두류동 131-26,42666.0,2729053500.0,두류1.2동,2729010200.0,두류동,2729010200,27,290,10200,서울특별시,성북구,두류동,40.0
384,대구청,대구성서,감삼,파출소,053-609-0318,대구광역시 달서구 달구벌대로 1606,대구광역시 달서구 달구벌대로 1606,339257.0,262385.0,정좌표,2.729011300101e+18,새주소,대구광역시 달서구 달구벌대로 1606,대구광역시 달서구 감삼동 100-8,42642.0,2729055500.0,감삼동,2729011300.0,감삼동,2729011300,27,290,11300,서울특별시,성북구,감삼동,40.0
385,대구청,대구달성,가창,파출소,053-660-8131,대구광역시 달성군 가창면 가창로 1076,대구광역시 달성군 가창면 가창로 1076,346653.0,256831.0,정좌표,2.77103102110565e+18,새주소,대구광역시 달성군 가창면 가창로 1076,대구광역시 달성군 가창면 용계리 565-82,42936.0,2771031000.0,가창면,2771031021.0,가창면 용계리,2771031021,27,710,31021,서울특별시,송파구,가창면 용계리,72.0
386,대구청,대구달성,공단,파출소,053-660-8132,대구광역시 달성군 논공읍 논공중앙로33길 7,대구광역시 달성군 논공읍 논공중앙로33길 7,331368.0,248786.0,정좌표,2.77102532810001e+18,새주소,대구광역시 달성군 논공읍 논공중앙로33길 7,대구광역시 달성군 논공읍 북리 1-129,42981.0,2771025300.0,논공읍,2771025328.0,논공읍 북리,2771025328,27,710,25328,서울특별시,송파구,논공읍 북리,72.0
387,대구청,대구달성,논공,파출소,053-660-8304,대구광역시 달성군 논공읍 비슬로 1788,대구광역시 달성군 논공읍 비슬로 1788,328438.0,253590.0,정좌표,2.77102532211809e+18,새주소,대구광역시 달성군 논공읍 비슬로 1788,대구광역시 달성군 논공읍 금포리 1809-1,42975.0,2771025300.0,논공읍,2771025322.0,논공읍 금포리,2771025322,27,710,25322,서울특별시,송파구,논공읍 금포리,72.0
388,대구청,대구달성,구지,파출소,053-660-8303,대구광역시 달성군 구지면 창리로11길 51,대구광역시 달성군 구지면 창리로11길 51,327919.0,240889.0,정좌표,2.77103802110372e+18,새주소,대구광역시 달성군 구지면 창리로11길 51,대구광역시 달성군 구지면 창리 372-1,43010.0,2771038000.0,구지면,2771038021.0,구지면 창리,2771038021,27,710,38021,서울특별시,송파구,구지면 창리,72.0
389,대구청,대구달성,화남,파출소,053-660-8311,대구광역시 달성군 화원읍 비슬로 2480,대구광역시 달성군 화원읍 비슬로 2480,334612.0,256423.0,정좌표,2.77102502411102e+18,새주소,대구광역시 달성군 화원읍 비슬로 2480,대구광역시 달성군 화원읍 설화리 1102-1,42956.0,2771025000.0,화원읍,2771025024.0,화원읍 설화리,2771025024,27,710,25024,서울특별시,송파구,화원읍 설화리,72.0
390,대구청,대구달성,화원,파출소,053-660-8312,대구광역시 달성군 화원읍 명천로 100,대구광역시 달성군 화원읍 명천로 100,336154.0,256880.0,정좌표,2.77102502610056e+18,새주소,대구광역시 달성군 화원읍 명천로 100,대구광역시 달성군 화원읍 본리리 56-8,42964.0,2771025000.0,화원읍,2771025026.0,화원읍 본리리,2771025026,27,710,25026,서울특별시,송파구,화원읍 본리리,72.0
391,대구청,대구달성,옥포,파출소,053-660-8136,대구광역시 달성군 옥포읍 비슬로 2294,대구광역시 달성군 옥포읍 비슬로 2294,333010.0,255466.0,정좌표,2.77102622610145e+18,새주소,대구광역시 달성군 옥포읍 비슬로 2294,대구광역시 달성군 옥포읍 기세리 145-6,42972.0,2771026200.0,옥포읍,2771026226.0,옥포읍 기세리,2771026226,27,710,26226,서울특별시,송파구,옥포읍 기세리,72.0
392,대구청,대구달성,다사,지구대,053-660-8305,대구광역시 달성군 다사읍 세천로 100,대구광역시 달성군 다사읍 세천로 100,332909.0,264664.0,정좌표,2.77102562611689e+18,새주소,대구광역시 달성군 다사읍 세천로 100,대구광역시 달성군 다사읍 세천리 1689-1,42930.0,2771025600.0,다사읍,2771025626.0,다사읍 세천리,2771025626,27,710,25626,서울특별시,송파구,다사읍 세천리,72.0
393,대구청,대구달성,현풍,파출소,053-660-8139,대구광역시 달성군 현풍읍 현풍중앙로 70,대구광역시 달성군 현풍읍 현풍중앙로 70,330727.0,244927.0,정좌표,2.7710265241006e+18,새주소,대구광역시 달성군 현풍읍 현풍중앙로 70,대구광역시 달성군 현풍읍 하리 60-1,42996.0,2771026500.0,현풍읍,2771026524.0,현풍읍 하리,2771026524,27,710,26524,서울특별시,송파구,현풍읍 하리,72.0
394,대구청,대구달성,유가,파출소,053-660-8307,대구광역시 달성군 유가읍 테크노상업로 99,대구광역시 달성군 유가읍 테크노상업로 99,332119.0,244754.0,정좌표,2.77102592410599e+18,새주소,대구광역시 달성군 유가읍 테크노상업로 99,대구광역시 달성군 유가읍 봉리 599-4,43015.0,2771025900.0,유가읍,2771025924.0,유가읍 봉리,2771025924,27,710,25924,서울특별시,송파구,유가읍 봉리,72.0
395,대구청,대구달성,하빈,파출소,053-660-8308,대구광역시 달성군 하빈면 달구벌대로 55길 58-4,대구광역시 달성군 하빈면 달구벌대로 55길 58-4,328296.0,264919.0,정좌표,2.77103302810072e+18,새주소,대구광역시 달성군 하빈면 달구벌대로55길 58-4,대구광역시 달성군 하빈면 동곡리 72-1,42903.0,2771033000.0,하빈면,2771033028.0,하빈면 동곡리,2771033028,27,710,33028,서울특별시,송파구,하빈면 동곡리,72.0
396,대구청,대구강북,동천,지구대,053-380-3192,대구광역시 북구 구암로 157,대구광역시 북구 구암로 157,340532.0,271299.0,정좌표,2.72301240010876e+18,새주소,대구광역시 북구 구암로 157,대구광역시 북구 동천동 876-2,41431.0,2723078000.0,동천동,2723012400.0,동천동,2723012400,27,230,12400,서울특별시,동대문구,동천동,65.0
397,대구청,대구강북,강북,지구대,053-380-3191,대구광역시 북구 동암로 171,대구광역시 북구 동암로 171,341569.0,272625.0,정좌표,2.72301220011099e+18,새주소,대구광역시 북구 동암로 171,대구광역시 북구 국우동 1099-7,41419.0,2723080000.0,국우동,2723012200.0,국우동,2723012200,27,230,12200,서울특별시,동대문구,국우동,65.0
398,대구청,대구강북,무태,파출소,053-380-3193,대구광역시 북구 서변로 62,대구광역시 북구 서변로 62,344048.0,270191.0,정좌표,2.72301150011776e+18,새주소,대구광역시 북구 서변로 62,대구광역시 북구 서변동 1776,41475.0,2723069500.0,무태조야동,2723011500.0,서변동,2723011500,27,230,11500,서울특별시,동대문구,서변동,65.0
399,대구청,대구강북,관문,파출소,053-380-3190,대구광역시 북구 한강로 103,대구광역시 북구 한강로 103,337247.0,267311.0,정좌표,2.72301290010726e+18,새주소,대구광역시 북구 한강로 103,대구광역시 북구 금호동 726,41492.0,2723071500.0,관문동,2723012900.0,금호동,2723012900,27,230,12900,서울특별시,동대문구,금호동,65.0
400,대구청,대구군위,부계,파출소,054-380-0314,대구광역시 군위군 부계면 창평길 29,대구광역시 군위군 부계면 창평길 29,349921.0,289988.0,정좌표,2.77203302111011e+18,새주소,대구광역시 군위군 부계면 창평길 29,대구광역시 군위군 부계면 창평리 1011-1,43162.0,2772033000.0,부계면,2772033021.0,부계면 창평리,2772033021,27,720,33021,서울특별시,군위군,부계면 창평리,4.0
401,대구청,대구군위,의흥,파출소,054-380-0317,대구광역시 군위군 의흥면 읍내6길 7,대구광역시 군위군 의흥면 읍내6길 7,354416.0,298543.0,정좌표,2.77203502110359e+18,새주소,대구광역시 군위군 의흥면 읍내6길 7,대구광역시 군위군 의흥면 읍내리 359-2,43149.0,2772035000.0,의흥면,2772035021.0,의흥면 읍내리,2772035021,27,720,35021,서울특별시,군위군,의흥면 읍내리,4.0
402,대구청,대구군위,중앙,파출소,054-380-0311,대구광역시 군위군 군위읍 중앙길 73,대구광역시 군위군 군위읍 중앙길 73,340729.0,304954.0,정좌표,2.77202502210263e+18,새주소,대구광역시 군위군 군위읍 중앙길 73,대구광역시 군위군 군위읍 서부리 263-1,43117.0,2772025000.0,군위읍,2772025022.0,군위읍 서부리,2772025022,27,720,25022,서울특별시,군위군,군위읍 서부리,4.0
403,대구청,대구군위,효령,파출소,054-380-0313,대구광역시 군위군 효령면 치산효령로 2383,대구광역시 군위군 효령면 치산효령로 2383,342739.0,296222.0,정좌표,2.77203202710194e+18,새주소,대구광역시 군위군 효령면 치산효령로 2383,대구광역시 군위군 효령면 중구리 194-2,43129.0,2772032000.0,효령면,2772032027.0,효령면 중구리,2772032027,27,720,32027,서울특별시,군위군,효령면 중구리,4.0
404,인천청,인천중부,신흥,지구대,032-760-8303,인천광역시 중구 서해대로 399,인천광역시 중구 서해대로 399,167373.0,440071.0,정좌표,2.81101180010001e+18,새주소,인천광역시 중구 서해대로 399,인천광역시 중구 항동7가 1-28,22306.0,2811053000.0,신포동,2811011800.0,항동7가,2811011800,28,110,11800,서울특별시,종로구,항동7가,100.0
405,인천청,인천중부,송림,지구대,032-760-8302,인천광역시 동구 송림로 46-1,인천광역시 동구 송림로 46-1,168112.0,441390.0,정좌표,2.81401070010229e+18,새주소,인천광역시 동구 송림로 46-1,인천광역시 동구 송림동 229-3,22555.0,2814058000.0,송림1동,2814010700.0,송림동,2814010700,28,140,10700,서울특별시,중구,송림동,66.0
406,인천청,인천중부,하인천,지구대,032-760-8301,인천광역시 중구 제물량로 266,인천광역시 중구 제물량로 266,166105.0,441548.0,정좌표,2.81101390010013e+18,새주소,인천광역시 중구 제물량로 266,인천광역시 중구 북성동2가 13-1,22312.0,2811061500.0,개항동,2811013900.0,북성동2가,2811013900,28,110,13900,서울특별시,종로구,북성동2가,100.0
407,인천청,인천중부,공항,지구대,032-760-8304,인천광역시 중구 흰바위로27번길 12,인천광역시 중구 흰바위로27번길 12,154692.0,443597.0,정좌표,2.81101470012792e+18,새주소,인천광역시 중구 흰바위로27번길 12,인천광역시 중구 운서동 2792-2,22371.0,2811062800.0,운서동,2811014700.0,운서동,2811014700,28,110,14700,서울특별시,종로구,운서동,100.0
408,인천청,인천중부,연안,파출소,032-760-8308,인천광역시 중구 연안부두로 22,인천광역시 중구 연안부두로 22,164819.0,439404.0,정좌표,2.8110118001006e+18,새주소,인천광역시 중구 연안부두로 22,인천광역시 중구 항동7가 60,22349.0,2811052000.0,연안동,2811011800.0,항동7가,2811011800,28,110,11800,서울특별시,종로구,항동7가,100.0
